,product code,review,date,score
95,20138496470,빠르게 배송와서 좋아요,19.07.20.,5
96,20138496470,역시 카카오미니 좋아요,19.07.20.,5
97,20138496470,ㅠㅠㅠ너무 기엽고 일단 스피커가 너어어ㅣ어어어무 좋아요...세상에... 라이온킹 노래 계속들음,19.07.20.,5
98,20138496470,설치도 쉽고 안전하게 2중포장해주셨네요~,19.07.19.,5
99,20138496470,카카오미니C 너무  좋네요!잘쓸께요!^^,19.07.19.,5
100,20138496470,정말 빠른 배송 최고^^ 에요.,19.07.19.,5
101,20138496470,제품이 매우 만족스럽습니다. 극동방송 라디오 들으려고 구매했어요~!!,19.07.18.,5
102,20138496470,배송도빨랐고상품도넘귀엽고좋아요~^^,19.07.18.,5
103,20138496470,조카선물로샀는뎅  너무좋아하네요!,19.07.18.,5
104,20138496470,헤이카카오좋습미다잉,19.07.18.,5
105,20138496470,빠른 배송 감사합니다ㅎ,19.07.18.,5
106,20138496470,편하고 생각보다 소리도 괜찮고 좋네요.리모컨이랑 배터리팩이 포함 안되어 있어서 아쉬웠어요 ㅠ그래도 만족만족,19.07.17.,5
107,20138496470,배송도 빠르고 음향도 깨끗하고 너무 괜찮아요~~~,19.07.17.,5
108,20138496470,잘되네요 좋아요 ㅋㅋ,19.07.17.,5
109,20138496470,아빠생신 선물로 드렸어요 좋아하시네요~ 좋아요 캐릭터도 넘 귀엽고 좋아요,19.07.17.,5
110,20138496470,너무좋아요조카선물로딱,19.07.16.,5
111,20138496470,배송이 정말 빠르고 상품이 상태가 좋아요,19.07.15.,5
112,20138496470,필요해서 구매했는데 좋네요,19.07.15.,5
113,20138496470,정말좋은데 뿌셔졌어요...,19.07.15.,3
114,20138496470,완전 귀여워요. 디자인도 좋고요,19.07.13.,5
115,20138496470,"저렴한 가격에 쓸만한 기능까지, 빠른 배송 아주 마음에 듭니다.",19.07.12.,5
116,20138496470,가격 만큼 하는거 같타요,19.07.12.,4
117,20138496470,선물해주니 좋아해여,19.07.12.,4
118,20138496470,좋아요 깔끔하고 소리도 잘나요,19.07.11.,5
119,20138496470,배송도 빠르고 귀여워요..,19.07.11.,5
120,20138496470,배송도 빠르고 물건도 굳,19.07.11.,5
121,20138496470,정말 좋습니다. 다음에 또 이용하겠습니다.,19.07.11.,5
